~によると according_to
現在 currently
請求する charge
契約(書) contract
確認する confirm
処理する process
説明書 instraction
導入する introduce
手配する arrange
請求書 bill
知らせる inform
不動産 property
尋ねる inquire
意図された intended
配布する distribute
担当している responsible
招待(状) invitation
頻繁な frequent
費用 expense
出発 departure
地区 district
選択肢 option
～に関する concerning
評判 reputation
よく知っている familiar
理想的な ideal
特別な行事 occasion
確信している confident
心配 concern
ちゃんと properly
定期的に regularly
頭金 deposit
代表を務める represent
補助金 grant
貴重な valuable
保証する assure
常設の permanent
比較的 relatively
労働 labor
みなす regard
値する deserve
特定する identify
委託する commission
熱心に取り組み committed
比較 comparison
実務の practical 
上司 supervisor
保証する ensure
知らせる notify
資格がある eligible
無料の complimentary
在庫 inventory
詳細な extensive
販売促進用の promotional
割り当てる assign
ほのめかす imply
夕食会 banquet
有効な valid
認定証 certificate
議題 agenda
組み立て assembly
名高い renowned
適切な appropriate
合併 merger
賃貸借 lease
欠陥のある defective
長期の extended
彫刻 sculpture
旅程表 itinerary
名簿 directory
愛用者 patron
検査する inspect
資格のある qualified
電化製品 appliance
おおよそ approximately
貢献する contribute
献身的な dedicates
